id,state,coordinates,fuel type
51515,CA,"[-120.845475, 35.366911]",ELEC
51516,CA,"[-116.38184, 33.730812]",ELEC
51623,CA,"[-119.727819, 36.793557]",E85
51624,CA,"[-118.007228, 33.730415]",E85
51716,CA,"[-116.379108, 33.729855]",ELEC
51781,CA,"[-121.905304, 37.381081]",ELEC
51890,CA,"[-117.958637, 33.828596]",E85
51912,CA,"[-117.899372, 33.663495]",ELEC
51913,CA,"[-124.175027, 40.791885]",ELEC
51919,CA,"[-121.276865, 38.135267]",ELEC
51920,CA,"[-121.280312, 38.132382]",ELEC
51921,CA,"[-121.288943, 38.115528]",ELEC
51922,CA,"[-121.27182, 38.134789]",ELEC
51923,CA,"[-121.275506, 38.137038]",ELEC
51926,CA,"[-118.409726, 33.886925]",ELEC
51933,CA,"[-122.147944, 37.430039]",ELEC
51934,CA,"[-122.112723, 37.419672]",ELEC
51947,CA,"[-117.81619, 34.077429]",ELEC
51951,CA,"[-118.302516, 33.777672]",ELEC
51952,CA,"[-122.554769, 38.007147]",ELEC
51954,CA,"[-119.69729, 34.409885]",ELEC
51960,CA,"[-120.086464, 34.610085]",ELEC
52041,CA,"[-121.472045, 38.495045]",LPG
